,sno,return_time,country,size,size2,size3,size4,Occasion
394,394,None,India,S,M,L,XL,
395,395,10 Days Return Policy?,India,S,M,L,XL,
396,396,10 Days Return Policy?,India,S,M,L,XL,
397,397,10 Days Return Policy?,India,S,M,L,XL,
398,398,10 Days Return Policy?,India,S,M,L,XL,
399,399,10 Days Return Policy?,India,S,M,L,XL,
400,400,10 days return policy?,India,S,M,L,XL,
401,401,10 days return policy?,India,S,M,L,XL,
402,402,10 Days Return Policy?,India,S,M,L,XL,
403,403,None,India,S,M,L,XL,
404,404,10 Days Return Policy?,India,S,M,L,XL,
405,405,None,India,S,M,L,XL,
406,406,10 days return policy?,India,S,M,L,XL,
407,407,None,India,S,M,L,XL,
408,408,None,India,S,M,L,XL,
409,409,None,India,S,M,L,XL,
410,410,None,India,S,M,L,XL,
411,411,10 Days Return Policy?,India,S,M,L,XL,
412,412,None,India,S,M,L,XL,
413,413,None,India,S,M,L,XL,
414,414,None,India,S,M,L,XL,
415,415,None,India,S,M,L,XL,
416,416,None,India,S,M,L,XL,
417,417,None,India,S,M,L,XL,
418,418,None,India,S,M,L,XL,
419,419,None,India,S,M,L,XL,
420,420,None,India,S,M,L,XL,
421,421,None,India,S,M,L,XL,
422,422,None,India,S,M,L,XL,
423,423,None,India,S,M,L,XL,
424,424,None,India,S,M,L,XL,
425,425,10 Days Return Policy?,India,S,M,L,XL,
426,426,None,India,S,M,L,XL,
427,427,10 Days Return Policy?,India,S,M,L,XL,
428,428,10 Days Return Policy?,India,S,M,L,XL,
429,429,None,India,S,M,L,XL,
430,430,None,India,S,M,L,XL,
431,431,10 Days Return Policy?,India,S,M,L,XL,
432,432,10 Days Return Policy?,India,S,M,L,XL,
433,433,10 Days Return Policy?,India,S,M,L,XL,
434,434,None,India,S,M,L,XL,
435,435,10 Days Return Policy?,India,S,M,L,XL,
436,436,10 Days Return Policy?,India,S,M,L,XL,
437,437,10 Days Return Policy?,India,S,M,L,XL,
438,438,10 Days Return Policy?,India,S,M,L,XL,
439,439,10 Days Return Policy?,India,S,M,L,XL,
440,440,10 days return policy?,India,S,M,L,XL,
441,441,10 days return policy?,India,S,M,L,XL,
442,442,10 Days Return Policy?,India,S,M,L,XL,
443,443,None,India,S,M,L,XL,
444,444,10 Days Return Policy?,India,S,M,L,XL,
445,445,None,India,S,M,L,XL,
446,446,10 days return policy?,India,S,M,L,XL,
447,447,None,India,S,M,L,XL,
448,448,None,India,S,M,L,XL,
449,449,None,India,S,M,L,XL,
450,450,None,India,S,M,L,XL,
451,451,10 Days Return Policy?,India,S,M,L,XL,
452,452,None,India,S,M,L,XL,
453,453,None,India,S,M,L,XL,
454,454,None,India,S,M,L,XL,
455,455,None,India,S,M,L,XL,
456,456,None,India,S,M,L,XL,
457,457,None,India,S,M,L,XL,
458,458,None,India,S,M,L,XL,
459,459,None,India,S,M,L,XL,
460,460,None,India,S,M,L,XL,
461,461,None,India,S,M,L,XL,
462,462,None,India,S,M,L,XL,
463,463,None,India,S,M,L,XL,
464,464,None,India,S,M,L,XL,
465,465,10 Days Return Policy?,India,S,M,L,XL,
466,466,None,India,S,M,L,XL,
467,467,10 Days Return Policy?,India,S,M,L,XL,
468,468,10 Days Return Policy?,India,S,M,L,XL,
469,469,None,India,S,M,L,XL,
470,470,None,India,S,M,L,XL,
471,471,10 Days Return Policy?,India,S,M,L,XL,
472,472,10 Days Return Policy?,India,S,M,L,XL,
473,473,10 Days Return Policy?,India,S,M,L,XL,
474,474,None,India,S,M,L,XL,
475,475,10 Days Return Policy?,India,S,M,L,XL,
476,476,10 Days Return Policy?,India,S,M,L,XL,
477,477,10 Days Return Policy?,India,S,M,L,XL,
478,478,10 Days Return Policy?,India,S,M,L,XL,
479,479,10 Days Return Policy?,India,S,M,L,XL,
480,480,10 days return policy?,India,S,M,L,XL,
481,481,10 days return policy?,India,S,M,L,XL,
482,482,10 Days Return Policy?,India,S,M,L,XL,
483,483,None,India,S,M,L,XL,
484,484,10 Days Return Policy?,India,S,M,L,XL,
485,485,None,India,S,M,L,XL,
486,486,10 days return policy?,India,S,M,L,XL,
487,487,None,India,S,M,L,XL,
488,488,None,India,S,M,L,XL,
489,489,None,India,S,M,L,XL,
490,490,None,India,S,M,L,XL,
491,491,10 Days Return Policy?,India,S,M,L,XL,
492,492,None,India,S,M,L,XL,
493,493,None,India,S,M,L,XL,
494,494,None,India,S,M,L,XL,
495,495,None,India,S,M,L,XL,
496,496,None,India,S,M,L,XL,
497,497,None,India,S,M,L,XL,
498,498,None,India,S,M,L,XL,
499,499,None,India,S,M,L,XL,
500,500,None,India,S,M,L,XL,
501,501,None,India,S,M,L,XL,
502,502,None,India,S,M,L,XL,
503,503,None,India,S,M,L,XL,
504,504,None,India,S,M,L,XL,
505,505,10 Days Return Policy?,India,S,M,L,XL,
506,506,None,India,S,M,L,XL,
507,507,10 Days Return Policy?,India,S,M,L,XL,
508,508,10 Days Return Policy?,India,S,M,L,XL,
509,509,None,India,S,M,L,XL,
510,510,None,India,S,M,L,XL,
511,511,10 Days Return Policy?,India,S,M,L,XL,
512,512,10 Days Return Policy?,India,S,M,L,XL,
513,513,10 Days Return Policy?,India,S,M,L,XL,
514,514,None,India,S,M,L,XL,
515,515,10 Days Return Policy?,India,S,M,L,XL,
516,516,10 Days Return Policy?,India,S,M,L,XL,
517,517,10 Days Return Policy?,India,S,M,L,XL,
518,518,10 Days Return Policy?,India,S,M,L,XL,
519,519,10 Days Return Policy?,India,S,M,L,XL,
520,520,10 days return policy?,India,S,M,L,XL,
521,521,10 days return policy?,India,S,M,L,XL,
522,522,10 Days Return Policy?,India,S,M,L,XL,
523,523,None,India,S,M,L,XL,
524,524,10 Days Return Policy?,India,S,M,L,XL,
525,525,None,India,S,M,L,XL,
526,526,10 days return policy?,India,S,M,L,XL,
527,527,None,India,S,M,L,XL,
528,528,None,India,S,M,L,XL,
529,529,None,India,S,M,L,XL,
530,530,None,India,S,M,L,XL,
