,sno,Brand_name,Category,Product_type,Product_name,Price,Product_code
3589,3589,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3590,3590,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3591,3591,VALKO FASHION,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,₹299,
3592,3592,Indi Hemp,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,₹499,
3593,3593,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3594,3594,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3595,3595,Indi Hemp,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,₹499,
3596,3596,Indi Hemp,trendy stylish design Shirt for men look new cotton uni...,trendy stylish design Shirt for men look new cotton uni...,trendy stylish design Shirt for men look new cotton uni...,₹994,
3597,3597,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3598,3598,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3599,3599,Indi Hemp,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹499,
3600,3600,Chanda Khuba,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","₹1,490",
3601,3601,Chanda Khuba,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","₹1,490",
3602,3602,Swear Clothes,"Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...",₹447,
3603,3603,VALKO FASHION,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹299,
3604,3604,PROTOCOL,Men Regular Fit Solid Curved Collar Casual Shirt,Men Regular Fit Solid Curved Collar Casual Shirt,Men Regular Fit Solid Curved Collar Casual Shirt,₹299,
3605,3605,PROTOCOL,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,₹319,
